sample,sync_method,drop_smooth_window,sync_search_min,sync_search_max,sync_search_steps,signature_force_weight,signature_stroke_weight,signature_smooth_window,force_threshold,stroke_threshold,video_change_threshold_px,baseline_frames,min_consecutive
A1,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A10,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A11,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A13,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A14,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A15,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A16,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A18,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A19,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A2,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A21,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A22,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A23,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A24,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A25,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A3,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A4,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A5,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A6,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A7,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A8,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
A9,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B10,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B11,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B12,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B13,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B14,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B15,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B16,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B17,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B18,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B19,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B2,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B20,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B21,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B22,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B23,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B24,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B25,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B3,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B4,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B5,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B6,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B7,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B8,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
B9,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C1,drop_alignment,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
C10,multi_signature,5,-30.0,30.0,200,0.7,0.3,5,0.1,0.01,3.0,5,3
