sample,sync_method,drop_smooth_window,sync_search_min,sync_search_max,sync_search_steps,signature_force_weight,signature_stroke_weight,signature_smooth_window,force_threshold,stroke_threshold,video_change_threshold_px,baseline_frames,min_consecutive
A12,multi_signature,,,,,,,,,,,,
A17,multi_signature,,,,,,,,,,,,
A20,multi_signature,,,,,,,,,,,,
D15,drop_alignment,11,,,,,,,,,,,
D20,multi_signature,,,,,,,,,,,,
D7,multi_signature,,,,,,,,,,,,
E1,start_alignment,,,,,,,,,,,,
E10,multi_signature,,,,,,,,,,,,
E13,multi_signature,,,,,,,,,,,,
E15,multi_signature,,,,,,,,,,,,
E17,start_alignment,,,,,,,,,,,,
E19,multi_signature,,,,,,,,,,,,
E20,start_alignment,,,,,,,,,,,,
E21,multi_signature,,,,,,,,,,,,
E23,drop_alignment,11,,,,,,,,,,,
E25,start_alignment,,,,,,,,,,,,
E3,start_alignment,,,,,,,,,,,,
E4,start_alignment,,,,,,,,,,,,
E5,multi_signature,,,,,,,,,,,,
E6,multi_signature,,,,,,,,,,,,
E7,start_alignment,,,,,,,,,,,,
E8,multi_signature,,,,,,,,,,,,
F1,start_alignment,,,,,,,,,,,,
F13,multi_signature,,,,,,,,,,,,
F15,start_alignment,,,,,,,,,,,,
F16,multi_signature,,,,,,,,,,,,
F18,start_alignment,,,,,,,,,,,,
F20,multi_signature,,,,,,,,,,,,
F22,multi_signature,,,,,,,,,,,,
F24,multi_signature,,,,,,,,,,,,
F25,multi_signature,,,,,,,,,,,,
F4,multi_signature,,,,,,,,,,,,
F7,multi_signature,,,,,,,,,,,,
F8,start_alignment,,,,,,,,,,,,
F9,multi_signature,,,,,,,,,,,,
G1,drop_alignment,11,,,,,,,,,,,
G10,multi_signature,,,,,,,,,,,,
G11,multi_signature,,,,,,,,,,,,
G13,multi_signature,,,,,,,,,,,,
G14,multi_signature,,,,,,,,,,,,
G15,multi_signature,,,,,,,,,,,,
G16,multi_signature,,,,,,,,,,,,
G17,multi_signature,,,,,,,,,,,,
G2,multi_signature,,,,,,,,,,,,
G20,multi_signature,,,,,,,,,,,,
G21,multi_signature,,,,,,,,,,,,
G23,multi_signature,,,,,,,,,,,,
G25,multi_signature,,,,,,,,,,,,
G3,multi_signature,,,,,,,,,,,,
G5,multi_signature,,,,,,,,,,,,
G6,multi_signature,,,,,,,,,,,,
G8,multi_signature,,,,,,,,,,,,
G9,multi_signature,,,,,,,,,,,,
H1,multi_signature,,,,,,,,,,,,
H11,multi_signature,,,,,,,,,,,,
H12,multi_signature,,,,,,,,,,,,
H13,multi_signature,,,,,,,,,,,,
H15,multi_signature,,,,,,,,,,,,
H16,multi_signature,,,,,,,,,,,,
H17,multi_signature,,,,,,,,,,,,
H2,multi_signature,,,,,,,,,,,,
H20,multi_signature,,,,,,,,,,,,
H22,multi_signature,,,,,,,,,,,,
H23,multi_signature,,,,,,,,,,,,
H24,multi_signature,,,,,,,,,,,,
H25,multi_signature,,,,,,,,,,,,
H5,multi_signature,,,,,,,,,,,,
H6,multi_signature,,,,,,,,,,,,
H7,multi_signature,,,,,,,,,,,,
H8,multi_signature,,,,,,,,,,,,
